Stop Name,latitude,longitude
Gabtoli,23.6324042,90.48826063
Technical,24.15329785,90.67259393
Ansar Camp,23.7929307,90.3532421
Mirpur 1,23.801924,90.3523456
Sony Cinema Hall,23.8004874,90.3553934
Mirpur 2,23.8063402,90.35702594
Mirpur 10,23.8083649,90.3682614
Mirpur 11,23.8202931,90.3710408
Purobi,23.8138963,90.4240396
Kalshi,23.8202931,90.3710408
ECB Chattar,23.82257685,90.39343328
MES,23.9161376,90.2607105
Shewra,23.81799371,90.41360546
Kuril Bishwa Road,23.8212083,90.4195365
Jamuna Future Park,23.8135723,90.42402377
Bashundhara,23.8239025,90.4699552
Nadda,23.809823,90.4220557
Notun Bazar,23.7982944,90.4239709
Bashtola,23.79440473,90.42251274
Shahjadpur,23.7884856,90.4237741
Uttar Badda,23.7857042,90.4256113
Badda,23.77654245,90.44630117
Middle Badda,23.7807959,90.4262663
Merul,23.7718576,90.4250807
Rampura Bridge,23.76802955,90.42334025
Banasree,23.7617123,90.4312774
Demra Staff Quarter,23.7197292,90.4905289
Shia Masjid,23.7620967,90.35911327
Adabor,23.7629379,90.3567682
Shyamoli,23.7775998,90.3601928
Sony Hall,23.8004874,90.3553934
Shewrapara,23.7909631,90.3755087
Khilkhet,23.8351324,90.43511207
Airport,23.8602996,90.39876
Jashimuddin,23.86019929,90.39062568
Rajlakshmi,23.8644797,90.4002124
Azampur,23.8665496,90.4100105
House Building,23.8748268,90.4006897
Abdullahpur,23.5542881,90.473867
Savar,23.8477,90.2587
Hemayetpur,23.7931994,90.2714229
Amin Bazar,23.7896155,90.3240987
Kallyanpur,23.7806848,90.3613321
Shishu Mela,23.773007,90.3678804
Agargaon,23.7784275,90.3800503
chandrima udyan,23.766533,90.378693
Bijoy Sarani,23.7663936,90.3830971
Jahangir Gate,23.7752465,90.3903174
Mohakhali,23.7799893,90.40832417
Wireless,23.7496943,90.4082451
Gulshan 1,23.780553,90.4169
Badda Link Road,23.78058386,90.41997677
Fulbaria,24.1892148,90.3087797
Golap Shah Mazar,23.7249921,90.410846
GPO,23.7289296,90.41140102
Paltan,23.7313082,90.4120882
Press Club,22.967864,89.8176179
High Court,23.7305,90.4034
Matsya Bhaban,23.73418399,90.40403594
Shahbag,23.7401951,90.3901161
Bangla Motor,23.7458397,90.3949387
Kawran Bazar,23.7514308,90.3948605
Farmgate,23.7590394,90.3871113
Chairman Bari,23.71096925,90.41095483
Sainik Club,23.79122995,90.399527
Banani,23.790321,90.4076959
Kakali,23.820295,90.3682928
Staff Road,23.8127577,90.4016567
Jashimuddin (Uttara),23.8608721,90.4004138
Sadarghat,24.5389931,91.6042712
Ray Saheb Bazar,23.7138661,90.411512
Naya Bazar,23.713843,90.4045497
Kakrail,23.7385398,90.4071475
Shantinagar,23.7385358,90.4139156
Malibagh Mor,23.74419188,90.41424554
Mouchak,24.023552,90.292921
Nabisco,23.7692591,90.4012227
Tongi,23.9084932,90.3980037
Station Road,23.73221943,90.42409168
Mill Gate,23.89620633,90.39942912
Board Bazar,23.9452074,90.3825171
Gazipur Bypass,23.9770994,90.3741474
Konabari,24.01083,90.320936
Chandra,23.3684957,90.0391387
Dhamrai,23.9183476,90.2142069
Aminbazar,23.7864942,90.330182
College Gate,23.7503675,90.4199166
Asad gate,23.7601299,90.3727245
Dhanmondi 27,23.75404782,90.37137816
Dhanmondi 32,23.73802075,90.3859514
Kalabagan,23.7487244,90.37919898
City College,23.7396837,90.3828522
New Market,23.73277515,90.3828117
Nilkhet,23.7329358,90.3860855
Azimpur,23.7252946,90.3834641
Bakshi Bazar,23.7241348,90.3955397
Gulistan,23.7249037,90.4120785
Chittagong Road,23.6972599,90.5094673
Kadamtali,23.6867705,90.454595
Keraniganj,23.7005013,90.3826441
Babubazar,23.7125524,90.4031333
Malibagh Railgate,23.7496972,90.4126346
Hazipara,23.8632798,90.4147242
Rampura Bazar,23.7602428,90.4186208
Motijheel,23.7272598,90.4211957
Mogbazar,23.7543737,90.40959957
Nandan Park,24.0300592,90.239812
Zirani Bazar,23.9938043,90.2551426
Baipayl,23.9380015,90.270064
Nobinagar,23.9123657,90.2605169
Asad Gate,23.7601299,90.3727245
Khamar Bari,23.7591274,90.383882
Kamalapur,23.7325123,90.4257424
Mirpur 14,23.7988425,90.3847119
Sony Cinema Hal,23.8004874,90.3553934
Mazar Road,23.78953728,90.34819499
Rupnagar,23.7153887,90.3777396
Beribadh,23.79770893,90.34687335
Birulia,23.8501655,90.3339337
Ashulia,23.8969898,90.3289577
Zirabo,23.90848403,90.29356844
Fantasy Kingdom,23.93427385,90.29148785
Shia Mosque,23.7620647,90.35912414
Japan Garden City,23.76370845,90.35820142
Kazipara,23.7992408,90.3719878
Ring Road,23.77044991,90.35907324
Old Airport,23.7715477,90.3892408
kakoli,23.77528145,90.36384035
Sign Board,23.7089323,90.3667608
Shonir Akhra,23.7036614,90.4508803
Jatrabari,23.7093978,90.433806
Sayedabad,23.7108758,90.4278141
Mugdapara,23.7291223,90.4335651
Bashabo,23.7405474,90.4333478
Khilgaon,23.7506546,90.4232818
Bashtola -,23.79440473,90.42251274
Gazipur Chowrasta,23.9891057,90.3815747
Duaripara,23.8272661,90.3565405
Rupnagar Residential Area,23.7200356,90.3735978
Shiyal Bari,23.8081946,90.3580172
Proshika Moor,24.415524,90.6552503
Shukrabad,23.7537064,90.3797806
Jamgora,23.5442237,90.344015
Ashulia Bazar,23.9052388,90.29300785
Kamarpara,23.8906579,90.3849515
Tejgaon saat rasta,23.75766793,90.39888348
Dhour,23.890623,90.3685719
Tarabo,23.725525,90.5154069
Madanpur,23.7076942,90.557245
Mohammadpur Bus Stand,23.7569928,90.3617359
Dhaka City College,23.7399793,90.38262203
Science Lab,23.7396929,90.3836057
Katabon,23.7387417,90.3910003
Bata Signal,23.7390795,90.3886771
Notre Dame College,23.73075509,90.42101188
Mirpur National Zoo,23.8123422,90.34693977
Taltola,23.7512986,90.4244569
Rajarbag,23.7395964,90.4171128
Bangla College,23.7207387,90.418394
Darussalam,23.77843615,90.35604084
Dhanmondi 32 ,23.75178855,90.37790572
Dainik Bangla Mor,23.7301345,90.4152482
Arambagh,23.7309015,90.4215656
Kamlapur,23.7321219,90.4246653
Manik Nagar,23.7228244,90.4314822
TT Para,23.72421784,90.42853777
Satrasta,23.75746115,90.39242949
Manik Mia Avenue,23.75871442,90.38301174
Bangla Motor Shahbag,23.7458397,90.3949387
Maowa,23.4740429,90.2552704
Diabari,23.8724286,90.366364
Ittefaq Mor,23.7218935,90.42033301
Mirpur 12,23.82510435,90.37067194
Gulshan Bridge,23.7055435,90.3997059
Pallabi,23.8261574,90.3641863
Dhakeshwari,23.72320975,90.38974483
Matuail,23.7029393,90.463095
Rayerbag,23.6980479,90.457102
Chankhar Pul,23.7238334,90.4003441
Palashi,23.7270291,90.3898001
Meghna Ghat,23.6143126,90.61365773
Kalshi Pallabi,23.83162512,90.37133028
Nobinagar Chandra,23.914947,90.259364
Kanchpur,23.7062107,90.5211599
rajlaxmi uttara,23.86588362,90.39943567
Kawlar,23.84361978,90.42156195
Elevated Expressway,23.75151297,90.39876635
Tejgaon College (Farmgate),23.75802915,90.38868518
Khejur Bagan,23.7601134,90.3839271
Sangsad Bhaban,23.76133747,90.38025534
Bijoy Sarani,23.7663936,90.3830971
Mohammadpur,23.7572031,90.3620184
Khamar Bari -,23.7591274,90.383882
Vulta,23.77490595,90.56006318
Kanchan Bridge,23.83617737,90.54559063
Nila Market,23.83753308,90.48326098
300 Feet,23.83665845,90.4766404
Bashundhara (300 Feet Gate),23.83299972,90.47661458
Shankar,23.7483109,90.3660743
Star Kabab,23.7475099,90.3702012
Dhanmondi 15,23.74284215,90.38803923
Jigatola,23.7390073,90.3710009
Balughat,23.8296126,90.3904977
Cantonment,23.81975315,90.39758199
Kachukhet,23.79311762,90.38808611
Vashantek,23.8052131,90.38762275
Bosila,23.7473392,90.345289
Ghatar Char,23.75728905,90.36129991
Dhamra,23.91880246,90.21142917
Kalampur,23.9183438,90.1549357
Tajmahal Road,23.76333148,90.36220814
Postagola,23.6921384,90.4331267
Dholairpar,23.7026053,90.4353396
Malibagh,23.7464464,90.4159433
Kuril Chourasta,23.81650938,90.42104518
Eden College,23.72879485,90.38710517
Police Plaza,23.7723049,90.4157346
Gulshan 2,23.7947191,90.4136986
Shukrabad Kalabagan,23.75264818,90.37773545
Uttara,23.8693275,90.3926893
Gazipur,23.9997558,90.4173629
Shib Bari,23.7291789,90.39783793
Salimullah Road,23.76029035,90.36297654
Jakir Hossen Road,23.75960685,90.36628261
Baitul Mukarram,23.72947245,90.412617
Kolabagan,23.7401951,90.3901161
Panthopoth,23.75177272,90.37870074
Karwan Bazar,23.7512656,90.3927762
Gulshan Link Road,23.78058386,90.41997677
Kuril Bissho Road,23.8212083,90.4195365
Khamar Bari Farmgate,23.7591274,90.383882
Motso Vobon,23.7336786,90.4037794
Malibagh Mor,23.74432956,90.41400264
Malibagh Rail Gate,23.7499107,90.4132552
Natun Bazar,23.5291064,90.45175509
Uttara House Building,23.8739905,90.4004409
Janapath Moor,23.71291763,90.42857405
Chashara,23.6239035,90.4989472
Shibu Market,23.64409235,90.49348973
Jalkuri,23.66285065,90.48987993
Khilgaon Khidma Hospital,23.74913765,90.42016976
Metro Hall,23.62503111,90.50514852
Farmgate Bijoy Sarani,23.7683525,90.3918572
Purobi Pallabi,23.8191288,90.36515008
Bangladesh Bank,23.726625,90.4232948
Sony Cinema Hall Mirpur 1,23.8004874,90.3553934
Nobinagar Baipayl,23.94352603,90.27185677
Kuril Flyover,23.82235414,90.42002507
Beribadh Tin Rastar Mor,23.75684853,90.35617644
Rayer Bazar,23.7448424,90.36273371
Sikder Medical College,23.7413377,90.3603919
Hazaribag,23.7337242,90.3557802
Nawabganj,23.6605166,90.1604757
Kamrangirchar,23.710395,90.3870137
Showari Ghat,23.710865,90.3943553
Mitford Ghat,23.7100338,90.4016154
Airport Jashimuddin (Uttara),23.8600545,90.3910108
Abdulla,23.7967933,90.3771447
Narshinghapur,23.94330499,90.31134372
Sura Bari,23.9628511,90.3168561
Kashimpur,23.9879493,90.3171133
Jarun,23.99449606,90.32163438
Khilgaon Flyover,23.74375455,90.42416457
Golapbag Chourasta,23.7176698,90.4293125
Kazla,24.36459655,88.6323494
Dayaganj,23.7104417,90.4246393
Dhupkhola,23.7063077,90.4219302
Shanir Akhra,23.70255794,90.45080491
Tolarbag,23.78843365,90.35165729
Kazipara Shewrapara,23.7940614,90.3754148
New Market Nilkhet,23.73277515,90.3828117
Technical -,24.15329785,90.67259393
Arambagh ,23.72976969,90.422105
Motijheel,23.7272598,90.4211957
Manikganj,23.83298355,89.96668782
Paturia,23.7888496,89.8098957
Mirpur 14 Bus Stand,23.79852883,90.38753091
Dhaka College,23.73432135,90.38189655
Chalantika Mor,23.81530698,90.36253274
Mirpur 6,23.8107214,90.36422615
Mirpur 2 Mirpur 10,23.8180448,90.3689137
Joydebpur,23.99731573,90.41819577
Sreepur,24.1988756,90.478198
Baromi,24.26262576,90.51450809
Dia Bari,23.79879626,90.34332244
Jurain,23.6953714,90.4338889
Jatrabari -,23.7093978,90.433806
Fakirapul,23.7325505,90.416987
Sony CInema Hall,23.8004874,90.3553934
Rajendrapur,24.100134,90.448634
Tikatuli,23.7189757,90.424011
Gandaria,23.70608035,90.42638605
IDB,23.77836538,90.37952672
Shimultola,23.7885732,90.3654816
Palli Bidyut,23.924306,90.263235
Savar Cantonment,23.917256,90.2603874
Rainkhola,23.80606315,90.35169124
Sayedabad Janapath Mor,23.71295694,90.42858479
Victoria Park,23.70964495,90.41233861
Tongi,23.9084932,90.3980037
Sanarpar,23.69533192,90.49272571
South Banasree,23.7523091,90.4402892
Ring road,23.77044991,90.35907324
Adabor Shyamoli,23.7718201,90.35853433
Shonbari Sreenagar,23.5446583,90.3011625
Nimtola,23.7431995,90.3641602
Hasnabad,23.6825996,90.4254385
Press Club Paltan,23.72950835,90.40670036
Mirpur 13,23.8064,90.3776496
Workshop,23.70905575,90.41924259
Saudi Colony,23.7783443,90.3893653
Mirpur DOHS,23.8371883,90.3689834
Garrison (Cantonment),23.8024127,90.395533
Adamjee School,23.7934767,90.39329542
Panthapath,23.7506188,90.3879515
Bot tola,23.8796706,90.2652939
Signal,23.7390795,90.3886771
CMH,23.8143341,90.39808692
Adamjee College,23.7944687,90.39412338
